route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
3,Horseshoe Bay,Langdale,2017,02,25,10,25,Queen of Coquitlam,43
4,Swartz Bay,Fulford Harbour,2017,02,10,15,00,Skeena Queen,40
3,Horseshoe Bay,Langdale,2017,04,30,13,35,Queen of Surrey,40
30,Tsawwassen,Duke Point,2017,03,21,07,45,Coastal Inspiration,125
3,Horseshoe Bay,Langdale,2017,03,26,21,45,Queen of Coquitlam,75
8,Horseshoe Bay,Bowen Island,2017,02,02,07,00,Queen of Capilano,24
30,Duke Point,Tsawwassen,2017,02,07,22,45,Queen of New Westminster,120
2,Departure Bay,Horseshoe Bay,2017,02,12,08,30,Queen of Oak Bay,102
3,Horseshoe Bay,Langdale,2017,03,13,19,50,Queen of Surrey,37
3,Langdale,Horseshoe Bay,2017,02,06,16,50,Queen of Surrey,40
3,Langdale,Horseshoe Bay,2017,04,05,13,30,Island Sky,50
8,Horseshoe Bay,Bowen Island,2017,04,14,20,30,Queen of Capilano,24
3,Horseshoe Bay,Langdale,2017,02,12,07,20,Queen of Surrey,41
8,Horseshoe Bay,Bowen Island,2017,03,08,14,25,Queen of Capilano,17
1,Tsawwassen,Swartz Bay,2017,04,21,16,00,Queen of New Westminster,90
4,Swartz Bay,Fulford Harbour,2017,04,11,13,00,Skeena Queen,30
4,Swartz Bay,Fulford Harbour,2017,02,02,13,25,Bowen Queen,55
30,Duke Point,Tsawwassen,2017,03,29,12,45,Queen of Alberni,119
8,Horseshoe Bay,Bowen Island,2017,04,08,17,30,Queen of Capilano,18
30,Duke Point,Tsawwassen,2017,03,08,15,15,Coastal Inspiration,123
1,Swartz Bay,Tsawwassen,2017,03,13,13,00,Coastal Renaissance,88
8,Horseshoe Bay,Bowen Island,2017,04,12,17,30,Queen of Capilano,26
3,Langdale,Horseshoe Bay,2017,04,04,18,50,Queen of Coquitlam,36
8,Horseshoe Bay,Bowen Island,2017,04,13,18,30,Queen of Capilano,45
30,Duke Point,Tsawwassen,2017,04,17,17,45,Queen of Alberni,117
8,Horseshoe Bay,Bowen Island,2017,04,22,09,00,Queen of Capilano,22
8,Horseshoe Bay,Bowen Island,2017,03,19,14,25,Queen of Capilano,23
1,Swartz Bay,Tsawwassen,2017,03,11,17,00,Coastal Renaissance,88
30,Tsawwassen,Duke Point,2017,02,27,17,45,Coastal Inspiration,119
30,Tsawwassen,Duke Point,2017,04,03,15,15,Queen of Alberni,121
1,Swartz Bay,Tsawwassen,2017,02,24,20,00,Queen of New Westminster,86
1,Swartz Bay,Tsawwassen,2017,04,19,13,00,Spirit of British Columbia,88
8,Horseshoe Bay,Bowen Island,2017,02,27,19,30,Queen of Capilano,26
1,Tsawwassen,Swartz Bay,2017,03,24,15,00,Spirit of British Columbia,94
2,Horseshoe Bay,Departure Bay,2017,02,09,15,00,Queen of Oak Bay,98
2,Departure Bay,Horseshoe Bay,2017,03,18,10,30,Queen of Cowichan,100
3,Langdale,Horseshoe Bay,2017,03,19,10,25,Queen of Surrey,43
1,Tsawwassen,Swartz Bay,2017,02,01,13,00,Coastal Celebration,90
8,Horseshoe Bay,Bowen Island,2017,03,07,08,00,Queen of Capilano,24
1,Tsawwassen,Swartz Bay,2017,04,26,19,00,Spirit of British Columbia,94
2,Horseshoe Bay,Departure Bay,2017,02,24,17,00,Queen of Cowichan,112
2,Horseshoe Bay,Departure Bay,2017,03,05,19,00,Queen of Oak Bay,112
3,Langdale,Horseshoe Bay,2017,03,29,07,00,Island Sky,48
30,Duke Point,Tsawwassen,2017,02,25,15,15,Coastal Inspiration,121
3,Langdale,Horseshoe Bay,2017,02,17,11,25,Queen of Coquitlam,37
2,Horseshoe Bay,Departure Bay,2017,02,13,08,30,Queen of Cowichan,100
3,Horseshoe Bay,Langdale,2017,04,22,15,50,Queen of Surrey,40
3,Langdale,Horseshoe Bay,2017,02,05,09,25,Queen of Coquitlam,39
8,Horseshoe Bay,Bowen Island,2017,04,18,15,30,Queen of Capilano,16
3,Horseshoe Bay,Langdale,2017,04,24,09,25,Queen of Surrey,49
30,Duke Point,Tsawwassen,2017,03,20,10,15,Coastal Inspiration,121
1,Tsawwassen,Swartz Bay,2017,03,21,09,00,Spirit of Vancouver Island,92
8,Horseshoe Bay,Bowen Island,2017,02,17,07,00,Queen of Capilano,18
3,Horseshoe Bay,Langdale,2017,03,29,19,50,Queen of Coquitlam,42
3,Langdale,Horseshoe Bay,2017,02,04,07,20,Queen of Coquitlam,36
1,Swartz Bay,Tsawwassen,2017,03,08,07,00,Coastal Celebration,92
4,Swartz Bay,Fulford Harbour,2017,03,18,07,00,Skeena Queen,36
1,Tsawwassen,Swartz Bay,2017,03,06,15,00,Coastal Renaissance,84
30,Tsawwassen,Duke Point,2017,03,15,05,15,Queen of Alberni,119
1,Tsawwassen,Swartz Bay,2017,02,27,13,00,Coastal Celebration,96
1,Tsawwassen,Swartz Bay,2017,03,18,13,00,Spirit of Vancouver Island,102
3,Horseshoe Bay,Langdale,2017,03,24,09,25,Queen of Coquitlam,47
1,Swartz Bay,Tsawwassen,2017,02,28,09,00,Coastal Renaissance,91
3,Langdale,Horseshoe Bay,2017,02,23,20,45,Queen of Surrey,41
1,Tsawwassen,Swartz Bay,2017,04,14,21,00,Spirit of Vancouver Island,90
3,Horseshoe Bay,Langdale,2017,04,08,19,50,Queen of Coquitlam,36
8,Horseshoe Bay,Bowen Island,2017,02,19,10,00,Queen of Capilano,20
30,Tsawwassen,Duke Point,2017,04,17,12,45,Coastal Inspiration,119
8,Horseshoe Bay,Bowen Island,2017,02,01,07,00,Queen of Capilano,22
3,Horseshoe Bay,Langdale,2017,04,10,19,50,Queen of Coquitlam,36
30,Tsawwassen,Duke Point,2017,04,11,15,15,Queen of Alberni,121
2,Horseshoe Bay,Departure Bay,2017,03,15,12,30,Queen of Cowichan,108
8,Horseshoe Bay,Bowen Island,2017,02,16,10,00,Queen of Capilano,30
3,Langdale,Horseshoe Bay,2017,02,15,18,50,Queen of Surrey,38
2,Horseshoe Bay,Departure Bay,2017,02,03,21,00,Queen of Cowichan,96
3,Horseshoe Bay,Langdale,2017,03,18,21,45,Queen of Surrey,35
2,Departure Bay,Horseshoe Bay,2017,04,26,12,30,Queen of Coquitlam,102
8,Horseshoe Bay,Bowen Island,2017,02,15,15,30,Queen of Capilano,26
30,Tsawwassen,Duke Point,2017,04,27,22,45,Coastal Renaissance,123
3,Horseshoe Bay,Langdale,2017,02,17,16,50,Queen of Coquitlam,38
3,Horseshoe Bay,Langdale,2017,02,08,06,20,Queen of Coquitlam,40
3,Langdale,Horseshoe Bay,2017,04,29,20,45,Queen of Surrey,75
30,Tsawwassen,Duke Point,2017,03,09,10,15,Queen of Alberni,121
1,Swartz Bay,Tsawwassen,2017,03,18,19,00,Spirit of Vancouver Island,94
1,Tsawwassen,Swartz Bay,2017,03,18,11,00,Spirit of British Columbia,98
4,Swartz Bay,Fulford Harbour,2017,02,18,19,00,Skeena Queen,34
3,Langdale,Horseshoe Bay,2017,03,23,16,50,Queen of Coquitlam,146
1,Tsawwassen,Swartz Bay,2017,03,07,17,00,Coastal Celebration,92
1,Tsawwassen,Swartz Bay,2017,04,13,07,00,Spirit of British Columbia,92
4,Swartz Bay,Fulford Harbour,2017,04,29,17,00,Skeena Queen,30
4,Swartz Bay,Fulford Harbour,2017,04,15,21,00,Skeena Queen,28
1,Tsawwassen,Swartz Bay,2017,02,02,07,00,Coastal Renaissance,92
2,Horseshoe Bay,Departure Bay,2017,03,21,15,00,Queen of Oak Bay,98
2,Departure Bay,Horseshoe Bay,2017,04,05,12,30,Queen of Oak Bay,100
